phase,fold,partition,model,architecture,lookback_days,station_set,seed,horizon_days,n,MAE_m,RMSE_m,bias_m,NSE,KGE,MAE_skill_vs_persistence
E4,C,validation,tcn_gru,tcn_gru,60,S1,42,3,277,0.5378878658687164,0.8066366869547257,0.0964629659928137,0.7334652497302403,0.8645015450564055,-0.1015447201362889
E4,C,validation,tcn_gru,tcn_gru,60,S1,42,5,277,0.7178806199063462,1.0802552932868723,0.1096250262587507,0.5271781555339093,0.7689547659107502,-0.0852048227136972
E4,C,validation,tcn_gru,tcn_gru,60,S1,42,7,277,0.8747135166872279,1.2439008931804034,0.1778742979020415,0.381954253612221,0.6931773217486928,-0.0864301144397907
E4,C,validation,tcn_gru,tcn_gru,60,S1,42,14,277,1.0952683646067811,1.3945694644216866,0.3317654837081576,0.2564708511409842,0.6163174392202306,-0.0392181167228828
E4,D,validation,persistence,tcn_gru,60,S1,42,1,38,0.1092105263157894,0.1596295052531593,-0.0413157894736842,0.988528531674252,0.9335148117583818,0.0
E4,D,validation,persistence,tcn_gru,60,S1,42,3,38,0.3934210526315789,0.6895250081339365,-0.2313157894736842,0.8749430857522572,0.6938786191304969,0.0
E4,D,validation,persistence,tcn_gru,60,S1,42,5,38,0.763421052631579,1.4973160198027318,-0.5334210526315789,0.6943618334124293,0.4637963624621306,0.0
E4,D,validation,persistence,tcn_gru,60,S1,42,7,38,1.0628947368421056,2.0221139277602798,-0.7876315789473683,0.5998455208780628,0.3596621227770213,0.0
E4,D,validation,persistence,tcn_gru,60,S1,42,14,38,0.8089473684210525,1.4211300173860906,-0.4342105263157892,0.6755194553023375,0.5107948872403254,0.0
E4,D,validation,tcn_gru,tcn_gru,60,S1,42,1,38,0.1672381354946839,0.2154161819103816,0.0679474669694898,0.9791094764979296,0.955650170538226,-0.5313371442886718
E4,D,validation,tcn_gru,tcn_gru,60,S1,42,3,38,0.3703256851120999,0.5994293673629246,-0.1748199818636243,0.9054887087808282,0.7617733848769643,0.0587039441966691
E4,D,validation,tcn_gru,tcn_gru,60,S1,42,5,38,0.7557140351910339,1.4230350409347972,-0.3680813988886384,0.7239346931667792,0.4930426590113538,0.0100953692775151
E4,D,validation,tcn_gru,tcn_gru,60,S1,42,7,38,1.08142166925104,1.9284380528114,-0.5331452070725593,0.636061645859439,0.3990174202390047,-0.0174306370769872
E4,D,validation,tcn_gru,tcn_gru,60,S1,42,14,38,0.8602543286900771,1.2871323081317847,0.0190169499422373,0.7338249036251054,0.5871438421793176,-0.0634243490638559
E4,A,validation,persistence,tcn_gru,60,S2,42,1,286,0.2124825174825175,0.2896688487877872,-0.0056993006993007,0.984638332245271,0.9919254811489544,0.0
E4,A,validation,persistence,tcn_gru,60,S2,42,3,286,0.5437062937062938,0.7305955995418602,-0.0162937062937062,0.9013620988069022,0.9504747375016004,0.0
E4,A,validation,persistence,tcn_gru,60,S2,42,5,286,0.7651048951048952,1.009260616989979,-0.027062937062937,0.8097953313113505,0.905250930028134,0.0
E4,A,validation,persistence,tcn_gru,60,S2,42,7,286,0.9112237762237764,1.1668409626713625,-0.0383566433566433,0.7427657800511018,0.87246174168187,0.0
