fold,station_set,seed,model,horizon_days,threshold_name,threshold_m,hits,misses,false_alarms,POD_recall,FAR,CSI,F1,event_count,mean_peak_magnitude_error_m,mean_absolute_peak_timing_error_days,evidence_class
final_period,S4,42,lstm,10,train_q90,8.309000000000006,53,7,8,0.8833333333333333,0.13114754098360656,0.7794117647058824,0.8760330578512396,1,-0.11108382225036806,9.0,exploratory
final_period,S4,42,lstm,10,train_q95,9.508999999999997,0,14,7,0.0,1.0,0.0,0.0,2,-0.2778332996368418,4.5,exploratory
final_period,S4,42,lstm,11,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,42,lstm,11,train_q90,8.309000000000006,52,8,9,0.8666666666666667,0.14754098360655737,0.7536231884057971,0.859504132231405,1,-0.1767919445037851,10.0,exploratory
final_period,S4,42,lstm,11,train_q95,9.508999999999997,0,14,1,0.0,1.0,0.0,0.0,2,-0.43522780895233204,5.0,exploratory
final_period,S4,42,lstm,12,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,42,lstm,12,train_q90,8.309000000000006,50,10,9,0.8333333333333334,0.15254237288135594,0.7246376811594203,0.8403361344537815,1,-0.2625603103637708,11.0,exploratory
final_period,S4,42,lstm,12,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.5045081949234023,3.5,exploratory
final_period,S4,42,lstm,13,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,42,lstm,13,train_q90,8.309000000000006,49,11,10,0.8166666666666667,0.1694915254237288,0.7,0.8235294117647058,1,-0.35085530281067,12.0,exploratory
final_period,S4,42,lstm,13,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.5760951566696173,4.0,exploratory
final_period,S4,42,lstm,14,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,42,lstm,14,train_q90,8.309000000000006,47,13,10,0.7833333333333333,0.17543859649122806,0.6714285714285714,0.8034188034188035,1,-0.42948389053344727,13.0,exploratory
final_period,S4,42,lstm,14,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.6520669078826913,4.0,exploratory
final_period,S4,52,lstm,1,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,52,lstm,1,train_q90,8.309000000000006,60,0,3,1.0,0.047619047619047616,0.9523809523809523,0.975609756097561,1,0.29347088813781674,0.0,exploratory
final_period,S4,52,lstm,1,train_q95,9.508999999999997,14,0,14,1.0,0.5,0.5,0.6666666666666666,2,0.3374410390853875,0.0,exploratory
final_period,S4,52,lstm,2,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,52,lstm,2,train_q90,8.309000000000006,60,0,4,1.0,0.0625,0.9375,0.967741935483871,1,0.31312585830688455,1.0,exploratory
final_period,S4,52,lstm,2,train_q95,9.508999999999997,14,0,14,1.0,0.5,0.5,0.6666666666666666,2,0.3556993198394771,1.0,exploratory
final_period,S4,52,lstm,3,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,52,lstm,3,train_q90,8.309000000000006,60,0,3,1.0,0.047619047619047616,0.9523809523809523,0.975609756097561,1,0.2935088825225822,2.0,exploratory
final_period,S4,52,lstm,3,train_q95,9.508999999999997,14,0,14,1.0,0.5,0.5,0.6666666666666666,2,0.340213046073913,1.5,exploratory
final_period,S4,52,lstm,4,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,52,lstm,4,train_q90,8.309000000000006,60,0,3,1.0,0.047619047619047616,0.9523809523809523,0.975609756097561,1,0.22553376197814856,3.0,exploratory
final_period,S4,52,lstm,4,train_q95,9.508999999999997,14,0,13,1.0,0.48148148148148145,0.5185185185185185,0.6829268292682927,2,0.27460386753082133,2.5,exploratory
final_period,S4,52,lstm,5,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,52,lstm,5,train_q90,8.309000000000006,59,1,4,0.9833333333333333,0.06349206349206349,0.921875,0.959349593495935,1,0.1728822517394999,4.0,exploratory
final_period,S4,52,lstm,5,train_q95,9.508999999999997,13,1,13,0.9285714285714286,0.5,0.48148148148148145,0.65,2,0.22097321033477613,3.5,exploratory
final_period,S4,52,lstm,6,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,52,lstm,6,train_q90,8.309000000000006,58,2,4,0.9666666666666667,0.06451612903225806,0.90625,0.9508196721311475,1,0.12162466049194265,5.0,exploratory
final_period,S4,52,lstm,6,train_q95,9.508999999999997,11,3,14,0.7857142857142857,0.56,0.39285714285714285,0.5641025641025641,2,0.16686010360717773,4.5,exploratory
final_period,S4,52,lstm,7,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,52,lstm,7,train_q90,8.309000000000006,56,4,5,0.9333333333333333,0.08196721311475409,0.8615384615384616,0.9256198347107438,1,0.04475093841552713,6.0,exploratory
final_period,S4,52,lstm,7,train_q95,9.508999999999997,5,9,11,0.35714285714285715,0.6875,0.2,0.3333333333333333,2,0.055901460647582724,4.5,exploratory
final_period,S4,52,lstm,8,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,52,lstm,8,train_q90,8.309000000000006,55,5,6,0.9166666666666666,0.09836065573770492,0.8333333333333334,0.9090909090909091,1,-0.05403287887573072,7.0,exploratory
final_period,S4,52,lstm,8,train_q95,9.508999999999997,1,13,9,0.07142857142857142,0.9,0.043478260869565216,0.08333333333333333,2,-0.0734642744064331,4.5,exploratory
final_period,S4,52,lstm,9,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,52,lstm,9,train_q90,8.309000000000006,54,6,6,0.9,0.1,0.8181818181818182,0.9,1,-0.1436014747619634,8.0,exploratory
final_period,S4,52,lstm,9,train_q95,9.508999999999997,0,14,4,0.0,1.0,0.0,0.0,2,-0.25646699905395565,4.5,exploratory
final_period,S4,52,lstm,10,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
